----------------------------------------------------- 修改了损失函数和训练参数 -------------------------------------------------------------------
----------------------------------------------------- MLP + 2头 + 20% ---------------------------------------------------------------------------
Experiment 1 ---------- delete 20% 
Search Stage:
Epoch 00205 | Loss: 0.650 | train acc: 0.821 | val acc: 0.872 (best 0.000) | test acc: 0.864 (best 0.000) | Time(s) 0.1705
Epoch 00210 | Loss: 0.639 | train acc: 0.829 | val acc: 0.872 (best 0.000) | test acc: 0.864 (best 0.000) | Time(s) 0.1705
Epoch 00215 | Loss: 0.628 | train acc: 0.836 | val acc: 0.874 (best 0.000) | test acc: 0.867 (best 0.000) | Time(s) 0.1705
Epoch 00220 | Loss: 0.617 | train acc: 0.843 | val acc: 0.878 (best 0.000) | test acc: 0.867 (best 0.000) | Time(s) 0.1704
Epoch 00225 | Loss: 0.607 | train acc: 0.843 | val acc: 0.882 (best 0.000) | test acc: 0.869 (best 0.000) | Time(s) 0.1704
Epoch 00230 | Loss: 0.597 | train acc: 0.843 | val acc: 0.882 (best 0.000) | test acc: 0.874 (best 0.000) | Time(s) 0.1703
Epoch 00235 | Loss: 0.587 | train acc: 0.843 | val acc: 0.884 (best 0.000) | test acc: 0.879 (best 0.000) | Time(s) 0.1706
Epoch 00240 | Loss: 0.578 | train acc: 0.843 | val acc: 0.884 (best 0.000) | test acc: 0.881 (best 0.000) | Time(s) 0.1705
Epoch 00245 | Loss: 0.569 | train acc: 0.843 | val acc: 0.886 (best 0.000) | test acc: 0.881 (best 0.000) | Time(s) 0.1705
Epoch 00250 | Loss: 0.561 | train acc: 0.843 | val acc: 0.888 (best 0.000) | test acc: 0.881 (best 0.000) | Time(s) 0.1704
Epoch 00255 | Loss: 0.553 | train acc: 0.850 | val acc: 0.890 (best 0.000) | test acc: 0.880 (best 0.000) | Time(s) 0.1704
Epoch 00260 | Loss: 0.545 | train acc: 0.850 | val acc: 0.892 (best 0.000) | test acc: 0.882 (best 0.000) | Time(s) 0.1704
Epoch 00265 | Loss: 0.538 | train acc: 0.850 | val acc: 0.898 (best 0.000) | test acc: 0.882 (best 0.000) | Time(s) 0.1703
